icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,timestamp_ingest
e47e7c,GLO2145,Brazil,1750871877,1750871878,-46.4288,-24.1424,4632.96,false,148.42,44.72,2025-06-25T17:18:13.607603+00:00Z
e80600,JES3031,Chile,1750871880,1750871880,-58.3886,-34.4995,906.78,false,142.01,88.96,2025-06-25T17:18:13.607746+00:00Z
e48fcb,TAM3450,Brazil,1750871818,1750871823,-46.1724,-23.1789,3390.9,false,179.2,31.5,2025-06-25T17:18:13.607833+00:00Z
e064cb,ARG1881,Argentina,1750871879,1750871879,-58.2752,-34.8355,1653.54,false,132.26,13.5,2025-06-25T17:18:13.607906+00:00Z
e48ef4,PRBJA,Brazil,1750871879,1750871880,-48.5868,-27.613,10363.2,false,186.81,230.7,2025-06-25T17:18:13.608139+00:00Z
e80411,LAN406,Chile,1750871880,1750871880,-50.1583,-27.57,10058.4,false,264.33,28.86,2025-06-25T17:18:13.609053+00:00Z
e48f02,7657,Brazil,1750871877,1750871880,-46.2249,-25.7542,11887.2,false,273.19,44.77,2025-06-25T17:18:13.615116+00:00Z
e48daf,AZU4741,Brazil,1750871829,1750871850,-46.5349,-23.4517,944.88,false,70.03,74.23,2025-06-25T17:18:13.619289+00:00Z
e48dc1,TAM3174,Brazil,1750871778,1750871783,-49.8109,-23.4458,11582.4,false,187.94,265.13,2025-06-25T17:18:13.619459+00:00Z
e48dc5,TAM3373,Brazil,1750871714,1750871722,-46.5297,-23.4503,914.4,false,75.69,73.41,2025-06-25T17:18:13.619566+00:00Z
e48dae,AZU2656,Brazil,1750871880,1750871880,-46.2701,-23.4264,7597.14,false,186.66,253.01,2025-06-25T17:18:13.619695+00:00Z
e48e0a,GLO1204,Brazil,1750871637,1750871694,-47.7574,-25.6538,9144.0,false,199.76,213.44,2025-06-25T17:18:13.620132+00:00Z
